election_year,election_date,election_type,ward_system,office,ward_number,ward_name,contest_id,candidate_name,candidate_first_name,candidate_last_name,candidate_name_raw,candidate_id,candidate_id_confidence,votes,total_contest_votes,vote_share,vote_rank,n_candidates,elected,acclaimed,incumbent,incumbent_source,incumbent_confidence,source
2000,2000-11-13,general,44-ward,councillor,17,,2000-councillor-17,Betty Disero,Betty,Disero,BETTY DISERO,c00266,1.0,8711,10454,0.8332695618901855,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,17,,2000-councillor-17,Romolo Cimaroli,Romolo,Cimaroli,ROMOLO CIMAROLI,c00486,1.0,1743,10454,0.16673043810981442,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,18,,2000-councillor-18,Mario Silva,Mario,Silva,MARIO SILVA,c01229,1.0,6037,9900,0.6097979797979798,1,4,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,18,,2000-councillor-18,Adam Giambrone,Adam,Giambrone,ADAM GIAMBRONE,c00022,1.0,3338,9900,0.3371717171717172,2,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,18,,2000-councillor-18,Janice Cudlip,Janice,Cudlip,JANICE CUDLIP,c00546,1.0,319,9900,0.03222222222222222,3,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,18,,2000-councillor-18,Richard Kankis,Richard,Kankis,RICHARD KANKIS,c01077,1.0,206,9900,0.020808080808080807,4,4,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,19,,2000-councillor-19,Joe Pantalone,Joe,Pantalone,JOE PANTALONE,c01015,1.0,9971,11069,0.9008040473394164,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,19,,2000-councillor-19,Philip Vettese,Philip,Vettese,PHILIP VETTESE,c01362,1.0,1098,11069,0.0991959526605836,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,20,,2000-councillor-20,Olivia Chow,Olivia,Chow,OLIVIA CHOW,c00453,1.0,9477,11743,0.8070339776888359,1,3,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,20,,2000-councillor-20,Rosie Schwartz,Rosie,Schwartz,ROSIE SCHWARTZ,c01417,1.0,1140,11743,0.09707911095972069,2,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,20,,2000-councillor-20,Roberto Verdecchia,Roberto,Verdecchia,ROBERTO VERDECCHIA,c01410,1.0,1126,11743,0.09588691135144341,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,21,,2000-councillor-21,Joe Mihevc,Joe,Mihevc,JOE MIHEVC,c01014,1.0,9636,15936,0.6046686746987951,1,3,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,21,,2000-councillor-21,Rob Davis,Rob,Davis,ROB DAVIS,c00626,1.0,5989,15936,0.3758157630522088,2,3,False,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,21,,2000-councillor-21,Chai Kalevar,Chai,Kalevar,CHAI KALEVAR,c00409,1.0,311,15936,0.019515562248995984,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,22,,2000-councillor-22,Michael Walker,Michael,Walker,MICHAEL WALKER,c01271,1.0,11542,16364,0.7053287704717673,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,22,,2000-councillor-22,Jim Walker,Jim,Walker,JIM WALKER,c01008,1.0,4822,16364,0.2946712295282327,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,23,,2000-councillor-23,John Filion,John,Filion,JOHN FILION,c00766,1.0,10213,16421,0.6219475062420072,1,3,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,23,,2000-councillor-23,Ron Summers,Ron,Summers,RON SUMMERS,c01416,1.0,5395,16421,0.32854271968820414,2,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,23,,2000-councillor-23,Youval Zilberberg,Youval,Zilberberg,YOUVAL ZILBERBERG,c01478,1.0,813,16421,0.04950977406978869,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,24,,2000-councillor-24,David Shiner,David,Shiner,DAVID SHINER,c00617,1.0,11673,14154,0.8247138618058499,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,24,,2000-councillor-24,Bernadette Michael,Bernadette,Michael,BERNADETTE MICHAEL,c00261,1.0,2481,14154,0.17528613819415007,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,25,,2000-councillor-25,Joanne Flint,Joanne,Flint,JOANNE FLINT,c00770,1.0,11124,14015,0.7937210132001427,1,2,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,25,,2000-councillor-25,John Cameron,John,Cameron,JOHN CAMERON,c00373,1.0,2891,14015,0.2062789867998573,2,2,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,26,,2000-councillor-26,Jane Pitfield,Jane,Pitfield,JANE PITFIELD,c00978,1.0,11058,15641,0.7069880442426955,1,3,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,26,,2000-councillor-26,Don Yuill,Don,Yuill,DON YUILL,c00688,1.0,3421,15641,0.2187200306885749,2,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,26,,2000-councillor-26,Muhammad Bajwa,Muhammad,Bajwa,MUHAMMAD BAJWA,c00210,1.0,1162,15641,0.07429192506872961,3,3,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,27,,2000-councillor-27,Kyle Rae,Kyle,Rae,KYLE RAE,c01146,1.0,,,,,1,True,True,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,28,,2000-councillor-28,Pam Mcconnell,Pam,Mcconnell,PAM MCCONNELL,c01249,1.0,7573,12794,0.5919180866030952,1,7,True,False,True,wikipedia,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,28,,2000-councillor-28,Jennifer Daly,Jennifer,Daly,JENNIFER DALY,c00563,1.0,1630,12794,0.1274034703767391,2,7,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,28,,2000-councillor-28,Wendy Forrest,Wendy,Forrest,WENDY FORREST,c00779,1.0,1038,12794,0.08113178052211974,3,7,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,28,,2000-councillor-28,Mike Armstrong,Mike,Armstrong,MIKE ARMSTRONG,c00169,1.0,1027,12794,0.08027200250117242,4,7,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,28,,2000-councillor-28,Nichola Marshall,Nichola,Marshall,NICHOLA MARSHALL,c01236,1.0,748,12794,0.05846490542441769,5,7,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,28,,2000-councillor-28,James Sturdy,James,Sturdy,JAMES STURDY,c00973,1.0,415,12794,0.03243707988119431,6,7,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,28,,2000-councillor-28,Aaron Hume,Aaron,Hume,AARON HUME,c00001,1.0,363,12794,0.028372674691261528,7,7,False,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,29,,2000-councillor-29,Case Ootes,Case,Ootes,CASE OOTES,c00401,1.0,7660,14290,0.5360391882435269,1,4,True,False,False,,0.85,city_web_final
2000,2000-11-13,general,44-ward,councillor,29,,2000-councillor-29,Gail Nyberg,Gail,Nyberg,GAIL NYBERG,c00804,1.0,4391,14290,0.3072778166550035,2,4,False,False,False,,0.85,city_web_final
