election_year,member_name,candidate_id,office,match_key,incumbent_source,confidence,candidate_id_resolution
2010,John Filion,c00755,councillor,filion john,city_attendance,0.95,matched
2010,Paula Fletcher,c00757,councillor,fletcher paula,city_attendance,0.95,matched
2010,Rob Ford,c00763,councillor,ford rob,city_attendance,0.95,matched
2010,Frances Nunziata,c00773,councillor,frances nunziata,city_attendance,0.95,matched
2010,Giorgio Mammoliti,c00837,councillor,giorgio mammoliti,city_attendance,0.95,matched
2010,Gloria Lindsay Luby,c00847,councillor,gloria lindsay luby,city_attendance,0.95,matched
2010,Gord Perks,c00854,councillor,gord perks,city_attendance,0.95,matched
2010,Mark Grimes,c00872,councillor,grimes mark,city_attendance,0.95,matched
2010,Suzan Hall,c00883,councillor,hall suzan,city_attendance,0.95,matched
2010,Howard Moscoe,c00925,councillor,howard moscoe,city_attendance,0.95,matched
2010,Joe Mihevc,c01000,councillor,joe mihevc,city_attendance,0.95,matched
2010,Joe Pantalone,c01001,councillor,joe pantalone,city_attendance,0.95,matched
2010,John Parker,c01015,councillor,john parker,city_attendance,0.95,matched
2010,Karen Stintz,c01061,councillor,karen stintz,city_attendance,0.95,matched
2010,Norman Kelly,c01071,councillor,kelly norman,city_attendance,0.95,matched
2010,Kyle Rae,c01125,councillor,kyle rae,city_attendance,0.95,matched
2010,Pam McConnell,c01222,councillor,mcconnell pam,city_attendance,0.95,matched
2010,Michael Thompson,c01240,councillor,michael thompson,city_attendance,0.95,matched
2010,Michael Walker,c01243,councillor,michael walker,city_attendance,0.95,matched
2010,Peter Milczyn,c01251,councillor,milczyn peter,city_attendance,0.95,matched
2010,Ron Moeser,c01258,councillor,moeser ron,city_attendance,0.95,matched
2014,Adam Vaughan,c00028,councillor,adam vaughan,city_attendance,0.95,matched
2014,Paul Ainslie,c00047,councillor,ainslie paul,city_attendance,0.95,matched
2014,Ana Bailão,c00106,councillor,ana bailao,city_attendance,0.95,matched
2014,Anthony Perruzza,c00150,councillor,anthony perruzza,city_attendance,0.95,matched
2014,Maria Augimeri,c00199,councillor,augimeri maria,city_attendance,0.95,matched
2014,Glenn De Baeremaeker,c00212,councillor,baeremaeker de glenn,city_attendance,0.95,matched
2014,Michelle Berardinetti,c00258,councillor,berardinetti michelle,city_attendance,0.95,matched
2014,Shelley Carroll,c00389,councillor,carroll shelley,city_attendance,0.95,matched
2014,Cesar Palacio,c00400,councillor,cesar palacio,city_attendance,0.95,matched
2014,Ceta Ramkhalawansingh,,councillor,ceta ramkhalawansingh,city_voting,0.9,no_results_match
2014,Chin Lee,c00439,councillor,chin lee,city_attendance,0.95,matched
2014,Raymond Cho,c00444,councillor,cho raymond,city_attendance,0.95,matched
2014,Josh Colle,c00504,councillor,colle josh,city_attendance,0.95,matched
